AvgSpotLen_l	BioSample_s	Experiment_s	InsertSize_l	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s
202	SAMEA1499290	ERX140368	200	LC_C25_nor_Txn1	2012-09-10	7717	5331	2012-09-10	ERR164491	ERS158748	LC_C25_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499267	ERX140369	200	LC_C28_nor_Txn1	2012-09-10	5994	4168	2012-09-10	ERR164492	ERS158749	LC_C28_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499308	ERX140370	200	LC_C29_nor_Txn1	2012-09-10	5830	4067	2012-09-10	ERR164493	ERS158750	LC_C29_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499312	ERX140371	200	LC_C30_nor_Txn1	2012-09-10	6352	4413	2012-09-10	ERR164494	ERS158751	LC_C30_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499338	ERX140372	200	LC_C31_nor_Txn1	2012-09-10	5668	3931	2012-09-10	ERR164495	ERS158752	LC_C31_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499274	ERX140373	200	LC_C33_nor_Txn1	2012-09-10	5317	3707	2012-09-10	ERR164496	ERS158753	LC_C33_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499289	ERX140374	200	LC_C34_nor_Txn1	2012-09-10	4956	3453	2012-09-10	ERR164497	ERS158754	LC_C34_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499229	ERX140375	200	LC_C35_nor_Txn1	2012-09-10	6065	4215	2012-09-10	ERR164498	ERS158755	LC_C35_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499242	ERX140376	200	LC_C36_nor_Txn1	2012-09-10	5428	3784	2012-09-10	ERR164499	ERS158756	LC_C36_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499379	ERX140377	200	LC_S1_nor_Txn1	2012-09-10	9623	6833	2012-09-10	ERR164500	ERS158757	LC_S1_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499369	ERX140378	200	LC_S2_nor_Txn1	2012-09-10	9030	6393	2012-09-10	ERR164501	ERS158758	LC_S2_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499348	ERX140379	200	LC_S3_nor_Txn1	2012-09-10	9752	6906	2012-09-10	ERR164502	ERS158759	LC_S3_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499318	ERX140380	200	LC_S4_nor_Txn1	2012-09-10	8795	6249	2012-09-10	ERR164503	ERS158760	LC_S4_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499307	ERX140381	200	LC_S5_nor_Txn1	2012-09-10	8803	6274	2012-09-10	ERR164504	ERS158761	LC_S5_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499314	ERX140382	200	LC_S6_nor_Txn1	2012-09-10	8753	6210	2012-09-10	ERR164505	ERS158762	LC_S6_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499375	ERX140384	200	LC_S9_nor_Txn1	2012-09-10	7054	5009	2012-09-10	ERR164507	ERS158763	LC_S9_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499354	ERX140385	200	LC_S10_nor_Txn1	2012-09-10	7114	5054	2012-09-10	ERR164508	ERS158764	LC_S10_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499262	ERX140386	200	LC_S11_nor_Txn1	2012-09-10	8518	6051	2012-09-10	ERR164509	ERS158765	LC_S11_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499236	ERX140387	200	LC_S13_nor_Txn1	2012-09-10	6145	4355	2012-09-10	ERR164510	ERS158766	LC_S13_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499294	ERX140388	200	LC_S14_nor_Txn1	2012-09-10	6027	4211	2012-09-10	ERR164511	ERS158767	LC_S14_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499275	ERX140389	200	LC_S15_nor_Txn1	2012-09-10	7690	5375	2012-09-10	ERR164512	ERS158768	LC_S15_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499269	ERX140390	200	LC_S16_nor_Txn1	2012-09-10	7013	4900	2012-09-10	ERR164513	ERS158769	LC_S16_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499351	ERX140391	200	LC_S17_nor_Txn1	2012-09-10	6882	4802	2012-09-10	ERR164514	ERS158770	LC_S17_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499374	ERX140392	200	LC_S18_nor_Txn1	2012-09-10	6067	4253	2012-09-10	ERR164515	ERS158771	LC_S18_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499283	ERX140393	200	LC_S19_nor_Txn1	2012-09-10	6673	4664	2012-09-10	ERR164516	ERS158772	LC_S19_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499298	ERX140394	200	LC_S20_nor_Txn1	2012-09-10	6009	4195	2012-09-10	ERR164517	ERS158773	LC_S20_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499271	ERX140395	200	LC_S21_nor_Txn1	2012-09-10	7068	4934	2012-09-10	ERR164518	ERS158774	LC_S21_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499258	ERX140396	200	LC_S22_nor_Txn1	2012-09-10	6717	4663	2012-09-10	ERR164519	ERS158775	LC_S22_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499223	ERX140397	200	LC_S23_nor_Txn1	2012-09-10	6763	4735	2012-09-10	ERR164520	ERS158776	LC_S23_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499370	ERX140398	200	LC_S24_nor_Txn1	2012-09-10	6948	4873	2012-09-10	ERR164521	ERS158777	LC_S24_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499344	ERX140399	200	LC_S25_nor_Txn1	2012-09-10	7202	5028	2012-09-10	ERR164522	ERS158778	LC_S25_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499320	ERX140400	200	LC_S26_nor_Txn1	2012-09-10	6538	4553	2012-09-10	ERR164523	ERS158779	LC_S26_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499270	ERX140401	200	LC_S27_nor_Txn1	2012-09-10	5611	3916	2012-09-10	ERR164524	ERS158780	LC_S27_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499297	ERX140402	200	LC_S28_nor_Txn1	2012-09-10	7290	4988	2012-09-10	ERR164525	ERS158781	LC_S28_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499231	ERX140403	200	LC_S29_nor_Txn1	2012-09-10	6073	4136	2012-09-10	ERR164526	ERS158782	LC_S29_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499255	ERX140404	200	LC_S30_nor_Txn1	2012-09-10	6483	4424	2012-09-10	ERR164527	ERS158783	LC_S30_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499244	ERX140405	200	LC_S31_nor_Txn1	2012-09-10	7477	5106	2012-09-10	ERR164528	ERS158784	LC_S31_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499350	ERX140406	200	LC_S32_nor_Txn1	2012-09-10	7584	5220	2012-09-10	ERR164529	ERS158785	LC_S32_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499363	ERX140407	200	LC_S33_nor_Txn1	2012-09-10	5503	3758	2012-09-10	ERR164530	ERS158786	LC_S33_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499317	ERX140408	200	LC_S34_nor_Txn1	2012-09-10	6358	4304	2012-09-10	ERR164531	ERS158787	LC_S34_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499340	ERX140409	200	LC_S35_nor_Txn1	2012-09-10	6716	4559	2012-09-10	ERR164532	ERS158788	LC_S35_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499336	ERX140410	200	LC_S36_nor_Txn1	2012-09-10	7509	5092	2012-09-10	ERR164533	ERS158789	LC_S36_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499343	ERX140411	200	LC_S37_nor_Txn1	2012-09-10	6796	4601	2012-09-10	ERR164534	ERS158790	LC_S37_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499365	ERX140412	200	LC_S38_nor_Txn1	2012-09-10	3327	2231	2012-09-10	ERR164535	ERS158791	LC_S38_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499234	ERX140413	200	LC_S39_nor_Txn1	2012-09-10	7474	5054	2012-09-10	ERR164536	ERS158792	LC_S39_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499253	ERX140414	200	LC_S40_nor_Txn1	2012-09-10	5410	3831	2012-09-10	ERR164537	ERS158793	LC_S40_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499279	ERX140415	200	LC_S41_nor_Txn1	2012-09-10	6795	4816	2012-09-10	ERR164538	ERS158794	LC_S41_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499263	ERX140416	200	LC_S42_nor_Txn1	2012-09-10	10024	7079	2012-09-10	ERR164539	ERS158795	LC_S42_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499282	ERX140417	200	LC_S43_nor_Txn1	2012-09-10	9200	6485	2012-09-10	ERR164540	ERS158796	LC_S43_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499311	ERX140418	200	LC_S44_nor_Txn1	2012-09-10	9026	6371	2012-09-10	ERR164541	ERS158797	LC_S44_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499321	ERX140419	200	LC_S45_nor_Txn1	2012-09-10	9715	6881	2012-09-10	ERR164542	ERS158798	LC_S45_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499347	ERX140420	200	LC_S46_nor_Txn1	2012-09-10	8475	6013	2012-09-10	ERR164543	ERS158799	LC_S46_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499249	ERX140421	200	LC_S47_nor_Txn1	2012-09-10	8769	6221	2012-09-10	ERR164544	ERS158800	LC_S47_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499227	ERX140422	200	LC_S48_nor_Txn1	2012-09-10	10137	7170	2012-09-10	ERR164545	ERS158801	LC_S48_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499232	ERX140423	200	LC_S49_nor_Txn1	2012-09-10	7489	5280	2012-09-10	ERR164546	ERS158802	LC_S49_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499373	ERX140424	200	LC_S50_nor_Txn1	2012-09-10	7135	5084	2012-09-10	ERR164547	ERS158803	LC_S50_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499352	ERX140425	200	LC_S51_nor_Txn1	2012-09-10	7615	5420	2012-09-10	ERR164548	ERS158804	LC_S51_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499325	ERX140426	200	LC_S52_nor_Txn1	2012-09-10	8954	6365	2012-09-10	ERR164549	ERS158805	LC_S52_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499248	ERX140383	200	LC_S8_nor_Txn1	2012-09-10	8045	5731	2012-09-10	ERR164506	ERS167309	LC_S8_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
